"Class Molecular Function"	"Total of Genes"
"GO:0047522 - 15-oxoprostaglandin 13-oxidase activity"	1
"GO:0047547 - 2-methylcitrate dehydratase activity"	1
"GO:0047559 - 3-dehydro-L-gulonate 2-dehydrogenase activity"	1
"GO:0047577 - 4-hydroxybutyrate dehydrogenase activity"	1
"GO:0047589 - 5-aminovalerate transaminase activity"	1
"GO:0047613 - aconitate decarboxylase activity"	1
"GO:0047622 - adenosine nucleosidase activity"	1
"GO:0047637 - phosphatidylglycerol alanyltransferase activity"	1
"GO:0047639 - alcohol oxidase activity"	1
"GO:0047652 - allantoate deiminase activity"	1
"GO:0047661 - amino-acid racemase activity"	1
"GO:0047681 - aryl-alcohol dehydrogenase (NADP+) activity"	1
"GO:0047710 - bis(5'-adenosyl)-triphosphatase activity"	1
"GO:0047723 - inosinate nucleosidase activity"	1
"GO:0047769 - arogenate dehydratase activity"	1
"GO:0047808 - D(-)-tartrate dehydratase activity"	1
"GO:0047844 - deoxycytidine deaminase activity"	1
"GO:0047917 - GDP-glucosidase activity"	1
"GO:0047938 - glucose-6-phosphate 1-epimerase activity"	1
"GO:0047952 - glycerol-3-phosphate dehydrogenase [NAD(P)+] activity"	1
"GO:0047954 - glycerol-2-phosphatase activity"	1
"GO:0047995 - hydroxyphenylpyruvate reductase activity"	1
"GO:0048001 - erythrose-4-phosphate dehydrogenase activity"	1
"GO:0048031 - trisaccharide binding"	1
"GO:0048040 - UDP-glucuronate decarboxylase activity"	1
"GO:0048256 - flap endonuclease activity"	1
"GO:0048270 - methionine adenosyltransferase regulator activity"	1
"GO:0048502 - ABC-type thiamine transporter activity"	1
"GO:0050031 - L-pipecolate oxidase activity"	1
"GO:0050032 - L-rhamnonate dehydratase activity"	1
"GO:0050089 - mannose isomerase activity"	1
"GO:0050121 - N-acylglucosamine 2-epimerase activity"	1
"GO:0050124 - N-acylneuraminate-9-phosphatase activity"	1
"GO:0050131 - N-methyl-L-amino-acid oxidase activity"	1
"GO:0050140 - nitrate reductase (cytochrome) activity"	1
"GO:0050145 - nucleoside monophosphate kinase activity"	1
"GO:0050152 - omega-amidase activity"	1
"GO:0050163 - oxaloacetate tautomerase activity"	1
"GO:0050165 - pantetheine kinase activity"	1
"GO:0050176 - phenylalanine N-acetyltransferase activity"	1
"GO:0050179 - phenylserine aldolase activity"	1
"GO:0050225 - pseudouridine kinase activity"	1
"GO:0050236 - pyridoxine:NADP 4-dehydrogenase activity"	1
"GO:0050262 - ribosylnicotinamide kinase activity"	1
"GO:0050272 - S-carboxymethylcysteine synthase activity"	1
"GO:0050297 - stizolobate synthase activity"	1
"GO:0050311 - sulfite reductase (ferredoxin) activity"	1
"GO:0050377 - UDP-glucose 4,6-dehydratase activity"	1
"GO:0050385 - ureidoglycolate lyase activity"	1
"GO:0050418 - hydroxylamine reductase activity"	1
"GO:0050440 - 2-methylcitrate synthase activity"	1
"GO:0050446 - azobenzene reductase activity"	1
"GO:0050483 - IMP 5'-nucleotidase activity"	1
"GO:0050498 - oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, with 2-oxoglutarate as one donor, and the other dehydrogenated"	1
"GO:0050511 - undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity"	1
"GO:0050515 - 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity"	1
"GO:0050518 - 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity"	1
"GO:0050519 - holo-citrate lyase synthase activity"	1
"GO:0050526 - poly(3-hydroxybutyrate) depolymerase activity"	1
"GO:0050531 - mannosyl-3-phosphoglycerate phosphatase activity"	1
"GO:0050568 - protein-glutamine glutaminase activity"	1
"GO:0050569 - glycolaldehyde dehydrogenase activity"	1
"GO:0050570 - 4-hydroxythreonine-4-phosphate dehydrogenase activity"	1
"GO:0050572 - L-idonate 5-dehydrogenase activity"	1
"GO:0050577 - GDP-L-fucose synthase activity"	1
"GO:0050580 - 2,5-didehydrogluconate reductase activity"	1
"GO:0050997 - quaternary ammonium group binding"	1
"GO:0051065 - CTP reductase activity"	1
"GO:0051073 - adenosylcobinamide-GDP ribazoletransferase activity"	1
"GO:0051075 - S-adenosylmethionine:tRNA ribosyltransferase-isomerase activity"	1
"GO:0051108 - carnitine-CoA ligase activity"	1
"GO:0051109 - crotonobetaine-CoA ligase activity"	1
"GO:0051192 - prosthetic group binding"	1
"GO:0051219 - phosphoprotein binding"	1
"GO:0051266 - sirohydrochlorin ferrochelatase activity"	1
"GO:0051392 - tRNA N-acetyltransferase activity"	1
"GO:0051499 - D-aminoacyl-tRNA deacylase activity"	1
"GO:0051500 - D-tyrosyl-tRNA(Tyr) deacylase activity"	1
"GO:0051575 - 5'-deoxyribose-5-phosphate lyase activity"	1
"GO:0051698 - saccharopine oxidase activity"	1
"GO:0051745 - 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity"	1
"GO:0051864 - histone H3K36 demethylase activity"	1
"GO:0051870 - methotrexate binding"	1
"GO:0051871 - dihydrofolic acid binding"	1
"GO:0051903 - S-(hydroxymethyl)glutathione dehydrogenase activity"	1
"GO:0051908 - double-stranded DNA 5'-3' DNA exonuclease activity"	1
"GO:0051978 - lysophospholipid:sodium symporter activity"	1
"GO:0051989 - coproporphyrinogen dehydrogenase activity"	1
"GO:0051991 - UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity"	1
"GO:0051992 - UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase activity"	1
"GO:0052381 - tRNA dimethylallyltransferase activity"	1
"GO:0052588 - diacetyl reductase ((S)-acetoin forming) activity"	1
"GO:0052589 - malate dehydrogenase (menaquinone) activity"	1
"GO:0052595 - aliphatic amine oxidase activity"	1
"GO:0052614 - uracil oxygenase activity"	1
"GO:0052654 - L-leucine transaminase activity"	1
"GO:0052655 - L-valine transaminase activity"	1
"GO:0052656 - L-isoleucine transaminase activity"	1
"GO:0052660 - R-lactaldehyde reductase activity"	1
"GO:0052661 - S-lactaldehyde reductase activity"	1
"GO:0052673 - prenol kinase activity"	1
"GO:0052693 - epoxyqueuosine reductase activity"	1
"GO:0052717 - tRNA-specific adenosine-34 deaminase activity"	1
"GO:0052733 - quinate 3-dehydrogenase (NADP+) activity"	1
"GO:0052734 - shikimate 3-dehydrogenase (NAD+) activity"	1
"GO:0052737 - pyruvate dehydrogenase (quinone) activity"	1
"GO:0052739 - phosphatidylserine 1-acylhydrolase activity"	1
"GO:0052740 - 1-acyl-2-lysophosphatidylserine acylhydrolase activity"	1
"GO:0052745 - inositol phosphate phosphatase activity"	1
"GO:0052751 - GDP-mannose hydrolase activity"	1
"GO:0052773 - diacetylchitobiose deacetylase activity"	1
"GO:0052821 - DNA-7-methyladenine glycosylase activity"	1
"GO:0052822 - DNA-3-methylguanine glycosylase activity"	1
"GO:0052823 - 2-hydroxy-6-oxonona-2,4,7-trienedioate hydrolase activity"	1
"GO:0052832 - inositol monophosphate 3-phosphatase activity"	1
"GO:0052833 - inositol monophosphate 4-phosphatase activity"	1
"GO:0052834 - inositol monophosphate phosphatase activity"	1
"GO:0052851 - ferric-chelate reductase (NADPH) activity"	1
"GO:0052855 - ADP-dependent NAD(P)H-hydrate dehydratase activity"	1
"GO:0052856 - NADHX epimerase activity"	1
"GO:0052857 - NADPHX epimerase activity"	1
"GO:0052858 - peptidyl-lysine acetyltransferase activity"	1
"GO:0052868 - protein-lysine lysyltransferase activity"	1
"GO:0052873 - FMN reductase (NADPH) activity"	1
"GO:0052874 - FMN reductase (NADH) activity"	1
"GO:0052875 - riboflavin reductase (NAD(P)H) activity"	1
"GO:0052890 - oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor"	1
"GO:0052906 - tRNA (guanine(37)-N1)-methyltransferase activity"	1
"GO:0052907 - 23S rRNA (adenine(1618)-N(6))-methyltransferase activity"	1
"GO:0052908 - 16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity"	1
"GO:0052911 - 23S rRNA (guanine(745)-N(1))-methyltransferase activity"	1
"GO:0052913 - 16S rRNA (guanine(966)-N(2))-methyltransferase activity"	1
"GO:0052914 - 16S rRNA (guanine(1207)-N(2))-methyltransferase activity"	1
"GO:0052915 - 23S rRNA (guanine(2445)-N(2))-methyltransferase activity"	1
"GO:0052916 - 23S rRNA (guanine(1835)-N(2))-methyltransferase activity"	1
"GO:0055056 - D-glucose transmembrane transporter activity"	1
"GO:0061133 - endopeptidase activator activity"	1
"GO:0061459 - L-arginine transmembrane transporter activity"	1
"GO:0061463 - O-acetyl-ADP-ribose deacetylase activity"	1
"GO:0061473 - murein tripeptide carboxypeptidase activity"	1
"GO:0061503 - tRNA threonylcarbamoyladenosine dehydratase"	1
"GO:0061542 - 3-demethylubiquinol-n 3-O-methyltransferase activity"	1
"GO:0061593 - sulfoquinovose isomerase activity"	1
"GO:0061594 - 6-deoxy-6-sulfofructose kinase activity"	1
"GO:0061595 - 6-deoxy-6-sulfofructose-1-phosphate aldolase activity"	1
"GO:0061596 - 3-sulfolactaldehyde reductase activity"	1
"GO:0061598 - molybdopterin adenylyltransferase activity"	1
"GO:0061599 - molybdopterin molybdotransferase activity"	1
"GO:0061602 - molybdenum cofactor cytidylyltransferase activity"	1
"GO:0061603 - molybdenum cofactor guanylyltransferase activity"	1
"GO:0061605 - molybdopterin-synthase adenylyltransferase activity"	1
"GO:0061627 - S-methylmethionine-homocysteine S-methyltransferase activity"	1
"GO:0061634 - alpha-D-xyloside xylohydrolase"	1
"GO:0061677 - 2-dehydro-3-deoxy-D-gluconate aldolase activity"	1
"GO:0061690 - lipoamidase activity"	1
"GO:0061710 - L-threonylcarbamoyladenylate synthase"	1
"GO:0061711 - N(6)-L-threonylcarbamoyladenine synthase activity"	1
"GO:0061787 - peptidoglycan cross-bridge peptide endopeptidase activity"	1
"GO:0061798 - GTP 3',8'-cyclase activity"	1
"GO:0061928 - glutathione specific gamma-glutamylcyclotransferase activity"	1
"GO:0061929 - gamma-glutamylaminecyclotransferase activity"	1
"GO:0062054 - fluoride channel activity"	1
"GO:0062158 - chloride:proton antiporter activity"	1
"GO:0062192 - L-rhamnose mutarotase activity"	1
"GO:0070012 - oligopeptidase activity"	1
"GO:0070038 - rRNA (pseudouridine-N3-)-methyltransferase activity"	1
"GO:0070039 - rRNA (guanosine-2'-O-)-methyltransferase activity"	1
"GO:0070040 - rRNA (adenine(2503)-C2-)-methyltransferase activity"	1
"GO:0070042 - rRNA (uridine-N3-)-methyltransferase activity"	1
"GO:0070204 - 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity"	1
"GO:0070205 - 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity"	1
"GO:0070335 - aspartate binding"	1
"GO:0070406 - glutamine binding"	1
"GO:0070497 - 6-carboxy-5,6,7,8-tetrahydropterin synthase activity"	1
"GO:0070538 - oleic acid binding"	1
"GO:0070566 - adenylyltransferase activity"	1
"GO:0070567 - cytidylyltransferase activity"	1
"GO:0070568 - guanylyltransferase activity"	1
"GO:0070626 - (S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido) succinate lyase (fumarate-forming) activity"	1
"GO:0070728 - leucine binding"	1
"GO:0070819 - menaquinone-dependent protoporphyrinogen oxidase activity"	1
"GO:0070991 - medium-chain fatty acyl-CoA dehydrogenase activity"	1
"GO:0071172 - dihydromonapterin reductase activity"	1
"GO:0071424 - rRNA (cytosine-N4-)-methyltransferase activity"	1
"GO:0071518 - autoinducer-2 kinase activity"	1
"GO:0071522 - ureidoglycine aminohydrolase activity"	1
"GO:0071885 - N-terminal protein N-methyltransferase activity"	1
"GO:0071967 - lipopolysaccharide core heptosyltransferase activity"	1
"GO:0071968 - lipid A-core heptosyltransferase activity"	1
"GO:0080041 - ADP-ribose pyrophosphohydrolase activity"	1
"GO:0080042 - ADP-glucose pyrophosphohydrolase activity"	1
"GO:0080130 - L-phenylalanine:2-oxoglutarate aminotransferase activity"	1
"GO:0080176 - xyloglucan 1,6-alpha-xylosidase activity"	1
"GO:0089702 - undecaprenyl-phosphate glucose phosphotransferase activity"	1
"GO:0089714 - UDP-N-acetyl-D-mannosamine dehydrogenase activity"	1
"GO:0089715 - tRNA (L-threonylcarbamoyladenosine(37)-C2) methyltransferase activity"	1
"GO:0090483 - phosphatidylglycerol-phosphatidylethanolamine phosphatidyltransferase activity"	1
"GO:0090499 - pimelyl-[acyl-carrier protein] methyl ester esterase activity"	1
"GO:0090565 - protein-phosphocysteine-mannitol phosphotransferase system transporter activity"	1
"GO:0090581 - protein-phosphocysteine-mannosylglycerate-phosphotransferase system transporter activity"	1
"GO:0090586 - protein-phosphocysteine-N-acetylglucosamine phosphotransferase system transporter activity"	1
"GO:0090587 - protein-phosphocysteine-glucosamine phosphotransferase system transporter activity"	1
"GO:0090588 - protein-phosphocysteine-N-acetylmuramate phosphotransferase system transporter activity"	1
"GO:0090599 - alpha-glucosidase activity"	1
"GO:0097098 - DNA/RNA hybrid annealing activity"	1
"GO:0097159 - organic cyclic compound binding"	1
"GO:0097266 - phenylacetyl-CoA 1,2-epoxidase activity"	1
"GO:0097657 - 3',5'-nucleotide bisphosphate phosphatase activity"	1
"GO:0097697 - tRNA (5-carboxymethoxyuridine(34)-5-O)-methyltransferase activity"	1
"GO:0098809 - nitrite reductase activity"	1
"GO:0098848 - alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase activity"	1
"GO:0099618 - UDP-glucuronic acid dehydrogenase activity"	1
"GO:0099619 - UDP-4-amino-4-deoxy-L-arabinose formyltransferase activity"	1
"GO:0099620 - UDP-4-amino-4-deoxy-L-arabinose aminotransferase"	1
"GO:0099621 - undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase activity"	1
"GO:0101006 - protein histidine phosphatase activity"	1
"GO:0102009 - proline dipeptidase activity"	1
"GO:0102025 - ABC-type thiosulfate transporter activity"	1
"GO:0102027 - S-adenosylmethionine:2-demethylquinol-8 methyltransferase activity"	1
"GO:0102028 - cystathionine gamma-synthase activity (acts on O-phosphohomoserine)"	1
"GO:0102029 - D-lactate dehydrogenase (quinone) activity"	1
"GO:0102031 - 4-acetamido-4,6-dideoxy-D-galactose transferase activity"	1
"GO:0102039 - NADH-dependent peroxiredoxin activity"	1
"GO:0102094 - S-adenosylmethionine:2-demethylmenaquinol methyltransferase activity"	1
"GO:0102130 - malonyl-CoA methyltransferase activity"	1
"GO:0102148 - N-acetyl-beta-D-galactosaminidase activity"	1
"GO:0102198 - L-idonate 5-dehydrogenase activity (NAD-dependent)"	1
"GO:0102208 - 2-polyprenyl-6-hydroxyphenol methylase activity"	1
"GO:0102262 - tRNA-dihydrouridine16 synthase activity"	1
"GO:0102264 - tRNA-dihydrouridine20 synthase activity"	1
"GO:0102266 - tRNA-dihydrouridine20a synthase activity"	1
"GO:0102391 - decanoate-CoA ligase activity"	1
"GO:0102480 - 5-fluorocytosine deaminase activity"	1
"GO:0102483 - scopolin beta-glucosidase activity"	1
"GO:0102500 - beta-maltose 4-alpha-glucanotransferase activity"	1
"GO:0102559 - protein-(glutamine-N5) methyltransferase activity"	1
"GO:0102635 - 11-deoxycorticosterone reductase activity"	1
"GO:0102742 - R(+)-3,4-dihydroxyphenyllactate:NADP+ oxidoreductase activity"	1
"GO:0102752 - 1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis)"	1
"GO:0102810 - glutarate-semialdehyde dehydrogenase (NADP+) activity"	1
"GO:0102955 - S-adenosylmethionine:2-demethylmenaquinol-7 methyltransferase activity"	1
"GO:0103015 - 4-amino-4-deoxy-L-arabinose transferase activity"	1
"GO:0103020 - 1-deoxy-D-xylulose kinase activity"	1
"GO:0103023 - ITPase activity"	1
"GO:0103026 - fructose-1-phosphatase activity"	1
"GO:0103031 - L-Ala-D/L-Glu epimerase activity"	1
"GO:0103039 - protein methylthiotransferase activity"	1
"GO:0103043 - 5-phospho-alpha-D-ribosyl 1,2-cyclic phosphate phosphodiesterase activity"	1
"GO:0103046 - alanylglutamate dipeptidase activity"	1
"GO:0103068 - leukotriene C4 gamma-glutamyl transferase activity"	1
"GO:0103116 - ABC-type D-galactofuranose transporter"	1
"GO:0103117 - UDP-3-O-acyl-N-acetylglucosamine deacetylase activity"	1
"GO:0103118 - UDP-3-O-(R-3-hydroxymyristoyl)-glucosamine N-acyltransferase activity"	1
"GO:0106008 - 2-oxoglutaramate amidase activity"	1
"GO:0106009 - (4S)-4-hydroxy-2-oxoglutarate aldolase activity"	1
"GO:0106026 - Gly-tRNA(Ala) hydrolase activity"	1
"GO:0106099 - 2-keto-3-deoxy-L-rhamnonate aldolase activity"	1
"GO:0106141 - flavin prenyltransferase activity"	1
"GO:0106226 - peptide 2-hydroxyisobutyryltransferase activity"	1
"GO:0106251 - N4-acetylcytidine amidohydrolase activity"	1
"GO:0106281 - chenodeoxycholate 7-alpha-dehydrogenase (NAD+) activity"	1
"GO:0106312 - methylenetetrahydrofolate reductase NADH activity"	1
"GO:0106321 - S-(hydroxymethyl)glutathione dehydrogenase NADP activity"	1
"GO:0106322 - S-(hydroxymethyl)glutathione dehydrogenase NAD activity"	1
"GO:0106343 - glutarate dioxygenase activity"	1
"GO:0106350 - octaprenyl pyrophosphate synthase activity"	1
"GO:0106366 - guanosine kinase activity"	1
"GO:0106418 - UDP-N-acetylmuramate-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptanedioate ligase activity"	1
"GO:0106430 - dihydroorotate dehydrogenase (quinone) activity"	1
"GO:0110068 - glucosylglycerate phosphorylase activity"	1
"GO:0120092 - crotonyl-CoA hydratase activity"	1
"GO:0120233 - prenyl-FMNH2 binding"	1
"GO:0120241 - 2-iminobutanoate/2-iminopropanoate deaminase"	1
"GO:0120242 - 2-iminobutanoate deaminase activity"	1
"GO:0120243 - 2-iminopropanoate deaminase activity"	1
"GO:0120284 - tryptophan binding"	1
"GO:0140032 - glycosylation-dependent protein binding"	1
"GO:0140132 - iron-sulfur cluster carrier activity"	1
"GO:0140303 - intramembrane lipid transporter activity"	1
"GO:0140581 - P-type monovalent copper transporter activity"	1
"GO:0140658 - ATP-dependent chromatin remodeler activity"	1
"GO:0140663 - ATP-dependent FeS chaperone activity"	1
"GO:0140677 - molecular function activator activity"	1
"GO:0140678 - molecular function inhibitor activity"	1
"GO:0140696 - (S)-2-hydroxyglutarate dehydrogenase activity"	1
"GO:0140741 - tRNA-uracil-4 sulfurtransferase activity"	1
"GO:0140826 - zinc:proton antiporter activity"	1
"GO:0141098 - tRNA (cytidine(34)-2'-O)-methyltransferase activity"	1
"GO:0141100 - tRNA (guanine(18)-2'-O)-methyltransferase activity"	1
"GO:0141102 - tRNA (5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase activity"	1
"GO:0160013 - NAD-dependent protein de-2-hydroxyisobutyrylase activity"	1
"GO:0160016 - CCACCA tRNA nucleotidyltransferase activity"	1
"GO:0160129 - protein-DNA covalent cross-linking activity"	1
"GO:0160136 - 16S rRNA pseudouridine(516) synthase activity"	1
"GO:0160137 - 23S rRNA pseudouridine(2457) synthase activity"	1
"GO:0160138 - 23S rRNA pseudouridine(2604) synthase activity"	1
"GO:0160139 - 23S rRNA pseudouridine(2605) synthase activity"	1
"GO:0160140 - 23S rRNA pseudouridine(1911/1915/1917) synthase activity"	1
"GO:0160141 - 23S rRNA pseudouridine(955/2504/2580) synthase activity"	1
"GO:0160142 - 23S rRNA pseudouridine(746) synthase activity"	1
"GO:1901359 - tungstate binding"	1
"GO:1901515 - poly-beta-1,6-N-acetyl-D-glucosamine transmembrane transporter activity"	1
"GO:1901611 - phosphatidylglycerol binding"	1
"GO:1901682 - sulfur compound transmembrane transporter activity"	1
"GO:1901683 - arsenate ion transmembrane transporter activity"	1
"GO:1901973 - proline binding"	1
"GO:1901982 - maltose binding"	1
"GO:1902444 - riboflavin binding"	1
"GO:1903425 - fluoride transmembrane transporter activity"	1
"GO:1905502 - acetyl-CoA binding"	1
"GO:1990107 - thiazole synthase activity"	1
"GO:1990362 - butanol dehydrogenase activity"	1
"GO:1990817 - poly(A) RNA polymerase activity"	1
"GO:1990827 - deaminase binding"	1
"GO:1990829 - C-rich single-stranded DNA binding"	1
"GO:1990837 - sequence-specific double-stranded DNA binding"	1
"GO:1990883 - rRNA cytidine N-acetyltransferase activity"	1
"GO:1990929 - sulfoquinovosidase activity"	1
